epoch,time,train/teacher_box_loss,train/teacher_cls_loss,train/teacher_dfl_loss,train/student_box_loss,train/student_cls_loss,train/student_dfl_loss,train/distill_cls_loss,train/distill_m2d2_loss,train/distill_l2_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,metrics_student/precision(B),metrics_student/recall(B),metrics_student/mAP50(B),metrics_student/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
1,13.0898,3.11578,5.78635,4.24792,3.1711,5.69168,4.30801,0.76725,0.17054,0.00318,0,0,0,0,3.37845,5.32219,4.15901,0,0,0,0,0,0,0
2,15.4642,2.91547,5.72118,4.22143,2.94782,5.7515,4.2187,0.20234,0.0414,0.00092,0,0,0,0,3.37847,5.31744,4.15911,0,0,0,0,1.07219e-06,1.07219e-06,1.07219e-06
3,17.7553,2.96331,5.77547,4.35548,2.98568,5.7227,4.22323,0.25469,0.07424,0.00185,0,0,0,0,3.37847,5.31744,4.15894,0,0,0,0,1.90876e-06,1.90876e-06,1.90876e-06
4,20.1,2.74539,5.65327,4.1825,2.73311,5.5868,4.23614,0.56116,0.13606,0.00312,0,0,0,0,3.37847,5.31814,4.15892,0,0,0,0,2.50971e-06,2.50971e-06,2.50971e-06
5,22.3889,3.18165,5.72082,4.3651,3.1712,5.69141,4.32844,1.0384,0.28125,0.00602,0,0,0,0,3.37847,5.31814,4.15892,0,0,0,0,2.87504e-06,2.87504e-06,2.87504e-06
6,24.8188,3.10069,5.64451,4.32778,3.07456,5.65632,4.26735,0.77317,0.14756,0.00324,0,0,0,0,3.37891,5.31931,4.15915,0,0,0,0,3.00475e-06,3.00475e-06,3.00475e-06
7,27.1422,2.86768,5.64795,4.20803,2.79917,5.55079,4.348,0.48749,0.11245,0.00193,0,0,0,0,3.37891,5.31931,4.15915,0,0,0,0,2.89884e-06,2.89884e-06,2.89884e-06
8,29.7321,2.80338,6.0081,4.33687,3.05908,5.87703,4.31705,1.3794,0.32411,0.00704,0,0,0,0,3.37897,5.32086,4.15933,0,0,0,0,2.55731e-06,2.55731e-06,2.55731e-06
9,31.9769,2.88039,5.74332,4.44582,2.88585,5.69214,4.3703,0.70934,0.1927,0.00397,0,0,0,0,3.37897,5.32086,4.15933,0,0,0,0,1.98016e-06,1.98016e-06,1.98016e-06
10,34.3264,2.81402,5.67456,4.32216,2.7745,5.63502,4.26386,0.74785,0.15838,0.00312,0,0,0,0,3.37954,5.32204,4.15944,0,0,0,0,1.16739e-06,1.16739e-06,1.16739e-06
